#{"t_start": 1777634231.6899936, "env_id": "crossy-road-notebook/CrossyRoad-v0"}
r,l,t
4.6,18,138.41197
-4.6,7,138.472875
0.1,13,138.56653
2.55,17,138.681492
6.55,31,141.765185
-4.1,2,141.784029
3.0,22,141.9439
-2.75,19,142.074485
7.75,27,142.257696
2.7,15,142.368521
-4.8,19,142.514091
2.7,27,142.672823
-2.2,24,142.816042
-2.0,12,142.902577
6.2,21,143.053793
2.45,20,143.1817
-4.1,2,143.197069
-3.55,7,143.244157
0.3,20,143.371828
-0.65,18,143.49267
-3.45,6,143.936383
2.9,15,144.049169
0.3,11,144.134175
-4.3,4,144.15989
-5.4,15,144.264693
-1.95,11,144.328362
-2.25,14,144.43877
-2.75,9,144.496038
-1.2,14,144.596401
-2.3,4,144.6225
-2.3,15,144.723241
-1.7,9,144.785291
-3.25,4,144.82135
5.8,27,145.016135
-2.55,7,145.064358
3.1,12,145.145779
1.2,23,145.296796
-5.0,31,145.507858
-1.3,15,148.295916
-4.6,18,148.4209
11.9,40,148.684339
-0.8,10,148.764413
-0.45,7,148.811291
1.9,14,148.901161
4.9,24,149.053344
-2.6,8,149.110993
-1.9,10,149.181345
-1.7,9,149.238992
-1.75,9,149.320078
2.95,24,149.474543
1.5,19,149.594547
-2.7,9,149.651051
6.15,20,149.765771
-4.2,3,149.791946
4.4,20,149.913423
-1.35,15,150.021061
14.45,34,150.484765
-2.35,5,150.519068
7.3,31,150.724225
-2.0,11,150.827708
-4.4,5,150.857324
-1.35,5,150.901875
-0.4,6,150.951946
-3.3,4,150.988074
1.7,16,151.1045
-4.3,4,151.13741
-5.1,12,151.224198
-4.2,3,151.254911
-0.9,21,151.407257
-3.45,6,151.455069
-1.45,7,151.501666
-2.6,8,151.551509
-0.5,17,151.650651
-3.45,6,151.701823
18.1,47,152.109338
-4.05,12,155.649804
2.05,21,155.814407
-1.65,8,155.896236
-0.9,33,156.137171
-0.35,6,156.191465
-4.4,5,156.23097
5.4,24,156.400138
8.15,31,156.606992
-2.35,5,156.638706
-4.4,5,156.673259
-3.3,4,156.699005
16.85,48,157.046332
-5.0,11,157.121404
-1.75,9,157.195227
0.95,14,157.288413
-1.75,10,157.347945
-0.9,11,157.741973
-3.2,3,157.76337
6.6,29,157.949419
-1.6,7,157.990382
-3.15,3,158.013785
-4.7,8,158.070362
-4.5,6,158.11786
5.25,24,158.298196
-4.0,12,158.387275
-3.55,7,158.435241
1.95,14,158.536344
0.85,13,158.633381
-0.55,7,158.680303
-1.15,23,158.841663
11.25,33,159.088029
7.1,37,159.388412
3.25,23,159.572657
-3.15,3,159.59391
-3.4,5,159.638822
-3.35,5,162.488367
-2.45,6,162.53634
-1.95,11,162.614221
12.7,39,162.847865
-3.8,9,162.910841
-3.2,3,162.931942
-4.1,2,162.95095
2.4,9,163.009792
-1.35,5,163.045152
-3.4,5,163.095329
1.9,14,163.205985
-4.2,3,163.232275
-3.15,3,163.273092
-3.4,5,163.309588
-4.7,8,163.396812
-3.15,3,163.418004
-3.4,5,163.461859
-4.2,3,163.504983
-4.1,2,163.529509
4.8,15,163.653904
-4.1,2,163.67276
-4.3,4,163.702628
0.95,13,163.800047
-4.0,11,163.888173
-4.1,2,163.905313
1.35,10,163.978675
5.35,19,164.132013
-4.3,4,164.164749
-3.3,4,164.203815
14.7,31,164.70391
3.7,19,164.8626
-3.2,3,164.884925
-2.5,7,164.940326
-2.8,20,165.090043
10.0,36,165.331477
-4.1,2,165.345584
-3.25,4,165.381714
-3.7,8,165.441456
1.85,14,165.535837
21.1,37,165.785957
10.1,53,166.127421
-2.5,6,166.170716
-4.6,7,166.215317
-4.2,13,166.307381
-1.45,7,166.345509
3.75,16,166.433358
-2.75,9,169.036829
-3.4,5,169.077469
0.95,14,169.177669
-1.3,15,169.271101
-0.65,10,169.33596
1.15,10,169.412679
-0.75,10,169.487063
1.9,15,169.577891
-3.15,3,169.598385
0.05,11,169.661978
2.1,11,169.74482
0.55,16,169.853629
-0.3,15,169.957416
-3.8,9,170.014499
1.75,26,170.206609
-2.05,13,170.312513
-1.35,5,170.373008
3.5,20,170.540337
0.1,12,170.628974
-0.6,18,171.155403
-2.25,4,171.196805
1.35,8,171.263187
-2.4,16,171.396456
-2.65,9,171.464143
-4.3,4,171.508091
-5.6,17,171.638648
-3.8,9,171.710932
-1.7,8,171.767129
-2.6,8,171.825044
-1.55,9,171.90618
3.4,29,172.111875
-3.7,8,172.172007
-4.2,3,172.208584
8.8,30,172.434668
3.65,26,172.609522
-4.9,10,172.688877
0.95,13,172.810505
-2.5,6,172.851938
1.1,21,172.983852
1.05,12,173.061133
-3.6,7,173.115582
5.35,20,176.029681
-2.7,9,176.092142
-2.4,6,176.144535
1.35,19,176.295208
-1.5,9,176.361244
2.45,19,176.510815
0.75,17,176.640815
-4.4,5,176.6907
3.5,29,176.896349
17.2,35,177.15895
0.35,19,177.287883
-2.65,8,177.347758
-3.2,3,177.377565
6.6,17,177.494582
0.4,10,177.574052
3.4,19,178.590049
-2.3,5,178.625868
-4.2,3,178.64734
9.5,42,178.928824
-3.15,3,178.962201
-4.3,4,178.997164
-1.1,13,179.085127
-5.9,20,179.22361
-3.5,16,179.330096
-3.15,3,179.3554
15.75,51,179.739575
-4.7,8,179.80673
-4.3,4,179.84378
-4.6,7,179.904151
-4.2,3,179.927928
-1.45,16,180.048201
-2.3,6,180.088997
-2.35,16,180.204281
3.6,20,180.338983
11.9,47,183.587959
0.6,16,183.706539
-2.0,11,183.792003
4.05,22,183.941048
2.55,17,184.063599
-3.3,5,184.105601
-4.1,2,184.127585
-3.4,5,184.178221
-2.6,7,184.240879
7.6,21,184.379836
-2.75,9,184.459977
1.7,28,184.676605
-3.15,3,184.713578
-0.2,13,184.800568
-4.6,17,184.942865
10.25,41,185.822595
-4.1,2,185.843593
-4.3,4,185.882529
-4.1,2,185.902426
-4.2,13,185.992747
-3.15,3,186.018268
-3.15,3,186.045588
2.1,31,186.370807
-0.95,16,186.542072
2.85,15,186.672959
0.85,15,186.808764
-2.35,16,186.953773
-0.75,10,187.0508
2.25,10,187.126137
-3.7,11,187.228616
-2.45,16,187.341867
0.05,11,187.434866
-1.45,8,187.484103
0.55,8,187.546088
14.6,33,187.793546
-3.5,6,187.837932
3.35,11,187.931901
-1.55,7,187.980482
-0.15,13,188.089271
-0.7,10,188.169135
-3.5,6,188.21393
-1.0,11,188.305794
-2.15,14,191.472353
-4.1,2,191.487817
-4.4,15,191.58691
0.45,8,191.641828
0.4,9,191.708998
7.2,22,191.869193
-4.1,2,191.892711
-4.2,3,191.918963
4.9,33,192.216031
-1.4,15,192.345397
-1.85,12,192.450479
5.25,21,192.613924
1.65,67,193.325836
-1.35,5,193.371483
5.25,35,193.614357
-2.2,4,193.64944
13.55,51,194.042253
-0.45,8,194.105617
-3.7,8,194.175667
-3.2,3,194.20052
-1.1,13,194.310638
-0.7,8,194.362098
0.5,18,194.489047
-0.75,10,194.56049
-3.15,3,194.582206
-3.15,3,194.610731
0.55,18,194.721245
-0.4,16,194.823682
-2.6,7,194.878319
-0.65,8,194.94791
-3.4,5,194.987243
25.85,60,195.383833
-0.5,7,198.632805
1.05,12,198.756513
-4.5,6,198.808362
5.15,23,198.991808
-4.1,2,199.009659
-4.1,2,199.035409
-4.2,3,199.070408
3.4,19,199.239908
-3.45,6,199.302334
-0.1,13,199.415331
-2.35,15,199.55254
-0.4,16,199.686563
1.0,12,199.791538
-1.3,5,199.838796
5.7,35,200.13378
-4.7,8,200.598666
-3.9,10,200.722022
-3.25,4,200.760253
1.9,24,200.957918
6.4,50,201.372172
2.0,13,201.468483
1.1,12,201.559267
-2.55,7,201.607173
3.85,35,201.866023
1.65,16,201.989341
9.15,24,202.167517
1.6,18,202.314407
-0.5,7,202.369431
8.55,59,202.832628
8.75,19,202.966795
8.65,27,203.202523
-1.55,7,203.25813
-3.7,8,206.406257
18.65,64,206.858818
-0.45,19,206.997059
-0.8,12,207.09585
-0.5,17,207.215764
-2.95,12,207.31915
-0.3,16,207.446155
-2.35,5,207.494431
-3.25,4,207.559606
-2.5,8,207.644106
-3.4,6,208.125437
-3.2,3,208.15086
8.85,38,208.446273
-1.75,9,208.515036
-0.6,18,208.650466
1.95,22,208.808545
-4.3,4,208.847412
-1.65,8,208.918957
13.4,31,209.125724
-1.8,11,209.22297
-2.15,13,209.31434
-3.5,6,209.377802
2.3,10,209.479444
3.85,15,209.623693
-4.1,2,209.644509
-2.35,5,209.711604
10.55,64,210.244984
-2.8,10,210.332123
3.1,12,210.420299
-1.4,6,210.486182
4.55,18,210.648077
-3.7,8,210.763814
-0.8,20,210.930091
-0.5,7,210.981095
-1.25,35,214.321404
-2.45,6,214.365779
2.7,15,214.4869
-2.45,6,214.541227
-2.05,13,214.654691
-3.45,6,214.708386
-1.05,13,214.807478
-2.15,13,214.908735
-0.8,53,216.275331
-4.3,4,216.309905
-2.25,4,216.350246
-2.15,13,216.456372
-1.95,11,216.539816
-0.25,15,216.640229
-4.2,3,216.680366
-4.2,3,216.7114
-0.5,7,216.776026
1.4,8,216.867144
-4.1,2,216.887259
3.8,26,217.146262
-1.35,7,217.205382
-4.4,5,217.249762
2.0,22,217.415175
-4.1,2,217.434164
-0.35,6,217.47894
0.2,21,217.660485
-0.9,20,217.804514
-2.45,16,217.935356
-1.9,12,218.01519
-3.5,7,218.065809
2.15,21,218.261886
-1.55,7,218.309142
-4.2,3,218.339233
-1.8,9,218.432144
0.25,10,218.517495
0.0,12,218.605985
0.9,35,218.876192
1.65,37,219.171479
-4.6,17,222.340927
-3.5,6,222.393147
3.9,15,222.512336
2.3,24,222.704307
-4.5,6,222.75554
-2.35,5,222.804096
-3.5,6,222.856811
-5.45,36,223.162226
-2.25,4,223.194213
0.05,11,223.280441
-4.1,2,223.298441
9.9,36,224.186323
-3.15,3,224.214024
2.7,26,224.433785
-2.7,9,224.534839
-4.3,4,224.565392
-2.85,10,224.644157
-3.5,6,224.694244
-3.15,3,224.724668
-1.8,11,224.824278
-1.65,9,224.929743
0.5,18,225.088637
-2.95,22,225.279329
3.05,14,225.395654
-1.8,10,225.499026
-0.6,8,225.565503
-2.3,4,225.61156
1.45,10,225.704871
-3.5,6,225.757609
-5.0,11,225.862582
3.65,16,225.989697
-2.4,6,226.068862
-3.2,13,226.17241
-3.35,5,226.210423
-0.95,12,226.295516
-3.6,7,226.35555
11.8,28,226.589619
-3.6,7,226.652732
2.35,41,227.007942
-2.7,18,227.165711
-1.3,5,227.224749
0.2,12,230.931228
-3.15,3,230.962109
-1.25,5,231.014206
0.3,10,231.117461
-2.75,19,231.304575
-1.55,8,231.399087
-4.2,24,231.605242
5.45,28,231.907308
-4.5,6,231.983907
0.6,7,232.049425
6.6,28,233.657491
5.75,28,233.93672
-3.4,5,233.997145
1.5,20,234.219476
-3.1,12,234.337451
13.15,30,234.591807
1.6,18,234.765427
-2.2,4,234.81814
-0.5,7,234.877906
-1.05,13,234.99878
1.15,11,235.10589
-3.7,8,235.168622
-4.2,3,235.206635
-4.4,5,235.256739
1.45,18,235.421041
-3.25,4,235.457041
-3.1,12,235.602652
11.35,22,235.805982
-3.5,6,235.862355
-5.6,17,236.00418
2.1,13,236.131133
4.3,22,236.351759
5.2,67,236.913651
-3.55,27,240.098056
2.15,13,240.193769
-4.6,7,240.236764
-3.45,6,240.272006
-1.55,8,240.329087
-4.3,4,240.360825
1.65,19,240.507542
2.35,19,240.663579
0.6,8,240.724997
1.0,13,240.811631
-4.4,5,240.852059
7.25,21,241.237855
0.95,15,241.356232
-1.3,15,241.455787
1.25,19,241.567387
5.35,23,241.698387
2.6,18,241.807933
-1.6,8,241.863548
-1.2,16,241.96643
-4.5,6,242.01118
-0.65,9,242.063166
0.55,17,242.172876
2.0,24,242.341655
-1.15,13,242.425954
6.1,24,242.596065
9.3,44,242.904236
-0.55,8,242.953988
-4.0,11,243.041504
-3.75,9,243.103596
-2.65,18,243.231805
-3.15,3,243.253555
-1.7,9,243.312206
-4.2,23,243.467057
14.05,46,243.742379
-2.45,6,243.780572
0.3,10,246.327159
-2.25,14,246.420969
-0.9,11,246.477458
-1.55,17,246.592945
0.1,23,246.727531
6.0,25,246.899491
-1.45,7,246.946493
22.4,65,247.761835
-0.5,7,247.806331
-4.2,3,247.831126
-3.25,4,247.856909
-4.1,2,247.877963
5.55,19,247.996579
-4.7,8,248.051472
-3.4,5,248.081993
-4.2,3,248.106765
-0.25,15,248.187774
0.55,7,248.233782
-3.35,5,248.262136
-3.1,23,248.39295
-3.7,8,248.433477
6.15,35,248.646801
-1.1,13,248.718459
-2.25,15,248.804206
-2.5,7,248.852824
0.15,11,248.922044
-3.4,5,248.952134
-3.05,12,249.040322
-1.5,7,249.089132
